2018,Chelsea,25,61750000,23,210000000,-148250000
2017,Chelsea,28,200600000,36,260600000,-60000000
2016,Chelsea,29,108400000,27,132800000,-24400000
2015,Chelsea,32,87490000,37,90500000,-3010000
2014,Chelsea,39,144850000,37,137700000,7150000
2013,Chelsea,31,77430000,34,130350000,-52920000
2012,Chelsea,25,25450000,26,109700000,-84250000
2011,Chelsea,26,32400000,24,96450000,-64050000
2010,Chelsea,24,16500000,23,121500000,-105000000
2009,Chelsea,16,3800000,18,30000000,-26200000
2008,Chelsea,21,44550000,21,30500000,14050000
2007,Chelsea,15,43650000,19,59000000,-15350000
2006,Chelsea,22,52600000,23,88980000,-36380000
2005,Chelsea,16,34100000,15,91500000,-57400000
2004,Chelsea,24,3300000,23,166400000,-163100000
2003,Chelsea,22,950000,20,169200000,-168250000
2002,Chelsea,12,2100000,11,0,2100000
2001,Chelsea,14,13220000,12,44800000,-31580000
2000,Chelsea,17,38700000,18,52390000,-13690000
2018,Manchester_United,9,35350000,8,82700000,-47350000
2017,Manchester_United,11,45500000,13,198400000,-152900000
2016,Manchester_United,14,47150000,9,185000000,-137850000
2015,Manchester_United,21,102070000,22,156000000,-53930000
2014,Manchester_United,27,49290000,26,195350000,-146060000
2013,Manchester_United,20,1800000,17,77130000,-75330000
2012,Manchester_United,20,10880000,19,76450000,-65570000
2011,Manchester_United,20,14470000,16,62300000,-47840000
2010,Manchester_United,21,17320000,19,29300000,-11990000
2009,Manchester_United,17,104470000,17,27400000,77070000
2008,Manchester_United,18,7450000,19,45250000,-37800000
2007,Manchester_United,20,46600000,21,103500000,-56900000
2006,Manchester_United,21,18000000,17,27200000,-9200000
2005,Manchester_United,23,7900000,19,31800000,-23900000
2004,Manchester_United,21,9570000,19,61250000,-51690000
2003,Manchester_United,24,59000000,21,56530000,2480000
2002,Manchester_United,15,3500000,16,48530000,-45030000
2001,Manchester_United,15,43600000,17,85850000,-42250000
2000,Manchester_United,11,9880000,9,11700000,-1830000
