,    Expend by player|  ,    Income by player|  ,    Name of League |  ,    Nationality |  ,   Year of Season |  ,  Expend + Inflation by player|  ,  Income + Inflation by player|  
0,241692.31,,Chinese ChineseSuperLeague,China,2011,266613.54,
0,,778421.05,PremierLeague,England,2011,,858685.15
1,,597284.62,SerieA,Italy,2011,,658871.49
2,,872861.11,LaLiga,Spain,2011,,962863.06
3,,601172.64,Ligue1,France,2011,,663160.4
4,,693709.09,Bundesliga,Germany,2011,,765238.42
5,,194897.96,PremierLiga,Russia,2011,,214994.16
6,,228716.71,SüperLig,Turkey,2011,,252300.01
7,,259332.06,LigaNOS,Portugal  ,2011,,286072.16
8,,125388.24,BrasileiroSérieA,Brazil,2011,,138317.19
9,,184313.47,Championship,England,2011,,203318.3
10,,412400.0, Eredivisie,Netherlands,2011,,454923.15
11,,118184.82,PremierLiga,Ukraine,2011,,130371.02
12,,55668.45,Chinese ChineseSuperLeague,China,2011,,61408.5
13,,93981.48,SerieB,Italy,2011,,103672.05
14,,322596.15,JupilerProLeague,Belgium,2011,,355859.5
15,,70726.26,SaudiProfessionalLeague,Saudi Arabia,2011,,78018.94
16,,26041.67,QatarStarsLeague,Qatar,2011,,28726.86
17,,206647.4,Ligue2,France,2011,,227955.11
18,,55105.26,SuperLeague,Greece,2011,,60787.25
19,,40100.0,Liga1Betano,Romania,2011,,44234.77
20,,113715.71,PrimeraDivisión,Argentina,2011,,125441.1
21,,89704.8,2.Bundesliga,Germany,2011,,98954.39
22,,197393.62,SuperLeague,Switzerland,2011,,217747.15
23,,62676.06,ScottishPremiership,Scotland,2011,,69138.67
24,,26776.86,KLeague1,SouthKorea,2011,,29537.86
25,,22033.1,1.HNL,Croatia,2011,,24304.96
