# Name_of_leauge Season Nationality AvgExpend +INFLACION
PremierLeague 2018 England 778421.05 790570.11
PremierLeague 2011 England 778421.05 858685.15
PremierLeague 2001 England 778421.05 1055707.24
PremierLeague 2018 England 778421.05 790570.11
PremierLeague 2011 England 778421.05 858685.15
PremierLeague 2001 England 778421.05 1055707.24
PremierLeague 2018 England 778421.05 790570.11
PremierLeague 2011 England 778421.05 858685.15
PremierLeague 2001 England 778421.05 1055707.24
PremierLeague 2011 England 778421.05 858685.15
SerieA 2011 Italy 597284.62 658871.49
LaLiga 2011 Spain 872861.11 962863.06
Ligue1 2011 France 601172.64 663160.4
Bundesliga 2011 Germany 693709.09 765238.42
PremierLiga 2011 Russia 194897.96 214994.16
S�perLig 2011 Turkey 228716.71 252300.01
LigaNOS 2011 Portugal 259332.06 286072.16
BrasileiroS�rieA 2011 Brazil 125388.24 138317.19
Championship 2011 England 184313.47 203318.3
Eredivisie 2011 Netherlands 412400.0 454923.15
PremierLiga 2011 Ukraine 118184.82 130371.02
ChineseSuperLeague 2011 China 55668.45 61408.5
SerieB 2011 Italy 93981.48 103672.05
JupilerProLeague 2011 Belgium 322596.15 355859.5
SaudiProfessionalLeague 2011 SaudiArabia 70726.26 78018.94
QatarStarsLeague 2011 Qatar 26041.67 28726.86
Ligue2 2011 France 206647.4 227955.11
SuperLeague 2011 Greece 55105.26 60787.25
Liga1Betano 2011 Romania 40100.0 44234.77
ArgentinaTorneoFinal 2011 Argentina 113715.71 125441.1
2.Bundesliga 2011 Germany 89704.8 98954.39
SuperLeague 2011 Switzerland 197393.62 217747.15
ScottishPremiership 2011 Scotland 62676.06 69138.67
KLeague1 2011 SouthKorea 26776.86 29537.86
1.HNL 2011 Croatia 22033.1 24304.96
#      => End of file <=
