,    Order of Expend |  ,    Club |  ,    State |  ,    Competition |  ,    Expenditures |  ,    Income |  ,    Arrivals |  ,    Departures |  ,    Balance |  ,    inflation Expenditure |  , inflation Income |  , inflation Balance |  
0,3,JuventusFC,Italy,SerieA,452100000.0,238590000.0,408,255,-213510000.0,471626631.33,248894930.25,-222731701.08
,    Order of Expend |  ,    Club |  ,    State |  ,    Competition |  ,    Expenditures |  ,    Income |  ,    Arrivals |  ,    Departures |  ,    Balance |  ,    inflation Expenditure |  , inflation Income |  , inflation Balance |  
0,4,ValenciaCF,Spain,LaLiga,431700000.0,150300000.0,75,54,-281400000.0,450345535.83,156791600.73,-293553935.1
1,5,AtléticoMadrid,Spain,LaLiga,430830000.0,486000000.0,99,69,55170000.0,449437959.69,506990804.76,57552845.07
,    Order of Expend |  ,    Club |  ,    State |  ,    Competition |  ,    Expenditures |  ,    Income |  ,    Arrivals |  ,    Departures |  ,    Balance |  ,    inflation Expenditure |  , inflation Income |  , inflation Balance |  
0,6,LiverpoolFC,England,PremierLeague,376200000.0,271650000.0,84,69,-104550000.0,392448437.76,283382823.27,-109065614.49
1,2,ManchesterUnited,England,PremierLeague,468000000.0,306210000.0,66,63,-161790000.0,488213367.54,319435502.73,-168777864.81
2,1,ManchesterCity,England,PremierLeague,833200000.0,269760000.0,112,96,-563440000.0,869186704.8,281411192.36,-587775512.4
,    Order of Expend |  ,    Club |  ,    State |  ,    Competition |  ,    Expenditures |  ,    Income |  ,    Arrivals |  ,    Departures |  ,    Balance |  ,    inflation Expenditure |  , inflation Income |  , inflation Balance |  
0,3,JuventusFC,Italy,SerieA,452100000.0,238590000.0,408,255,-213510000.0,471626631.33,248894930.25,-222731701.08
