# Name_of_leauge Season Nationality AvgExpend +INFLACION
PremierLeague 2018 England -383502.72 -389488.17
PremierLeague 2011 England -383502.72 -423046.23
PremierLeague 2001 England -383502.72 -520112.61
PremierLeague 2018 England -383502.72 -389488.17
PremierLeague 2011 England -383502.72 -423046.23
PremierLeague 2001 England -383502.72 -520112.61
PremierLeague 2018 England -383502.72 -389488.17
PremierLeague 2011 England -383502.72 -423046.23
PremierLeague 2001 England -383502.72 -520112.61
PremierLeague 2011 England -383502.72 -423046.23
SerieA 2011 Italy -80229.01 -88501.53
LaLiga 2011 Spain -233027.78 -257055.6
Ligue1 2011 France -203192.18 -224143.62
Bundesliga 2011 Germany -115090.91 -126958.1
PremierLiga 2011 Russia -1303061.22 -1437421.72
S�perLig 2011 Turkey -83389.83 -91988.27
LigaNOS 2011 Portugal 34847.33 38440.49
BrasileiroS�rieA 2011 Brazil 13764.71 15184.0
Championship 2011 England 84909.33 93664.45
Eredivisie 2011 Netherlands 181933.33 200692.74
PremierLiga 2011 Ukraine -83069.31 -91634.7
ChineseSuperLeague 2011 China -196363.64 -216610.97
SerieB 2011 Italy 35661.38 39338.47
JupilerProLeague 2011 Belgium 195352.56 215495.64
SaudiProfessionalLeague 2011 SaudiArabia -73687.15 -81285.14
QatarStarsLeague 2011 Qatar -233020.83 -257047.94
Ligue2 2011 France 144219.65 159090.35
SuperLeague 2011 Greece 15605.26 17214.34
Liga1Betano 2011 Romania 6625.0 7308.11
ArgentinaTorneoFinal 2011 Argentina 81072.32 89431.8
2.Bundesliga 2011 Germany 50073.8 55236.98
SuperLeague 2011 Switzerland 149361.7 164762.6
ScottishPremiership 2011 Scotland 34154.93 37676.69
KLeague1 2011 SouthKorea 4876.03 5378.81
1.HNL 2011 Croatia 8983.45 9909.75
#      => End of file <=
2015.0,5350390800.0,4891835351.36,-461737181.08,26.0,10725.0,10847.0,498870.94,450985.1,-42568.19,205784261.54,188147513.51,-17759122.35
