,    Order |  ,    Club |  ,    State |  ,    Competition |  ,    Expenditures |  ,    Arrivals |  ,    Income  |  ,    Departures |  ,    Balance |  ,    Season |  , Inflacion + Income |  , Inflacion + Expenditures |  , Inflacion + Balance |  
0,1,JuventusFC,Italy,SerieA,261500000.0,69,109000000.0,48,-152500000.0,2018,110701197.23,265581312.63,-154880115.4
1,1,FCBarcelona,Spain,LaLiga,359500000.0,18,232500000.0,12,-127000000.0,2017,239304168.06,370020853.42,-130716685.35
2,1,ManchesterCity,England,PremierLeague,213500000.0,40,35350000.0,23,-178150000.0,2016,36784635.95,222164632.99,-185379997.03
3,1,ManchesterCity,England,PremierLeague,208300000.0,28,67440000.0,24,-140860000.0,2015,70352798.09,217296676.2,-146943878.1
4,1,ManchesterUnited,England,PremierLeague,195350000.0,32,49290000.0,32,-146060000.0,2014,51331426.41,203440741.51,-152109315.1
5,1,CagliariCalcio,Italy,SerieA,20200000.0,45,21930000.0,35,1730000.0,2014,22838267.01,21036616.22,1801650.8
6,1,RealMadrid,Spain,LaLiga,175500000.0,13,113500000.0,10,-62000000.0,2013,119202591.82,184317664.01,-65115072.19
7,1,ParisSaintGermain,France,Ligue1,151000000.0,19,4750000.0,15,-146250000.0,2012,5099273.61,162103224.39,-157003950.77
8,1,ParisSaintGermain,France,Ligue1,107100000.0,23,9400000.0,14,-97700000.0,2011,10369247.35,118143233.11,-107773985.76
9,1,ManchesterCity,England,PremierLeague,183610000.0,38,37150000.0,28,-146460000.0,2010,41890677.1,207040302.07,-165149624.97
10,1,WestHamUnited,England,PremierLeague,15830000.0,19,4950000.0,21,-10880000.0,2010,5581664.92,17850051.64,-12268386.72
11,1,RealMadrid,Spain,LaLiga,258500000.0,10,88500000.0,14,-170000000.0,2009,100709839.68,294163769.0,-193453929.32
12,1,ManchesterCity,England,PremierLeague,157350000.0,27,26500000.0,18,-130850000.0,2008,30655414.88,182023755.9,-151368341.02
13,1,RealMadrid,Spain,LaLiga,118000000.0,23,40400000.0,18,-77600000.0,2007,48186313.54,140742202.9,-92555889.36
14,1,RealMadrid,Spain,LaLiga,103000000.0,20,15200000.0,19,-87800000.0,2006,18478881.37,125218735.61,-106739854.24
15,1,ChelseaFC,England,PremierLeague,91500000.0,20,34100000.0,20,-57400000.0,2005,42396740.83,113762515.72,-71365774.89
16,1,ChelseaFC,England,PremierLeague,166400000.0,25,3300000.0,25,-163100000.0,2004,4199726.85,211768044.73,-207568317.88
17,1,ChelseaFC,England,PremierLeague,169200000.0,29,950000.0,23,-168250000.0,2003,1233442.86,219682664.84,-218449221.98
18,1,InterMilan,Italy,SerieA,109600000.0,34,105250000.0,19,-4350000.0,2002,139808955.19,145587282.55,-5778327.36
19,1,JuventusFC,Italy,SerieA,179080000.0,23,138950000.0,18,-40130000.0,2001,188446241.48,242871197.72,-54424956.25
20,1,RealMadrid,Spain,LaLiga,119250000.0,17,63450000.0,13,-55800000.0,2000,88259851.87,165878445.0,-77618593.13
21,2,ParisSaintGermain,France,Ligue1,217000000.0,25,114000000.0,18,-103000000.0,2018,115779233.8,220386787.15,-104607553.35
22,2,ManchesterCity,England,PremierLeague,317500000.0,40,91350000.0,34,-226150000.0,2017,94023379.58,326791713.38,-232768333.8
23,2,JuventusFC,Italy,SerieA,195830000.0,125,174910000.0,85,-20920000.0,2016,182008505.65,203777517.93,-21769012.28
24,2,ManchesterUnited,England,PremierLeague,156000000.0,22,102070000.0,21,-53930000.0,2015,106478500.91,162737789.18,-56259288.27
25,2,FCBarcelona,Spain,LaLiga,166720000.0,16,81800000.0,15,-84920000.0,2014,85187881.52,173624982.97,-88437101.45
26,2,ASMonaco,France,Ligue1,160700000.0,41,4750000.0,32,-155950000.0,2013,4988654.72,168774066.13,-163785411.41
27,2,ChelseaFC,England,PremierLeague,109700000.0,39,25450000.0,30,-84250000.0,2012,27321371.26,117766382.22,-90445010.96
28,2,JuventusFC,Italy,SerieA,101830000.0,63,20700000.0,53,-81130000.0,2011,22834406.4,112329835.93,-89495429.53
29,2,ChelseaFC,England,PremierLeague,121500000.0,28,16500000.0,25,-105000000.0,2010,18605549.72,137004502.49,-118398952.77
30,2,ManchesterCity,England,PremierLeague,147300000.0,31,30950000.0,30,-116350000.0,2009,35219994.78,167622139.94,-132402145.16
31,2,TottenhamHotspur,England,PremierLeague,142450000.0,42,88050000.0,40,-54400000.0,2008,101856953.97,164787315.08,-62930361.11
32,2,ManchesterUnited,England,PremierLeague,103500000.0,25,46600000.0,23,-56900000.0,2007,55581242.84,123447610.17,-67866367.33
33,2,ChelseaFC,England,PremierLeague,88980000.0,28,52600000.0,22,-36380000.0,2006,63946655.27,108174398.97,-44227743.7
34,2,RealMadrid,Spain,LaLiga,89500000.0,20,43100000.0,10,-46400000.0,2005,53586496.48,111275903.36,-57689406.88
35,2,FCBarcelona,Spain,LaLiga,78500000.0,19,14750000.0,18,-63750000.0,2004,18771506.37,99902593.22,-81131086.85
36,2,InterMilan,Italy,SerieA,60000000.0,50,49800000.0,33,-10200000.0,2003,64658372.99,77901654.2,-13243281.21
37,2,ACMilan,Italy,SerieA,71080000.0,30,40600000.0,24,-30480000.0,2002,53931055.4,94419197.48,-40488142.08
38,2,ACMilan,Italy,SerieA,142190000.0,27,20700000.0,22,-121490000.0,2001,28073675.41,192840381.98,-164766706.56
39,2,SSLazio,Italy,SerieA,108710000.0,23,22600000.0,16,-86110000.0,2000,31436921.23,151217155.18,-119780233.95
40,3,ChelseaFC,England,PremierLeague,210000000.0,38,61750000.0,30,-148250000.0,2018,62713751.64,213277535.95,-150563784.31
41,3,ParisSaintGermain,France,Ligue1,283000000.0,18,98400000.0,15,-184600000.0,2017,101279699.52,291282062.63,-190002363.12
42,3,ManchesterUnited,England,PremierLeague,185000000.0,11,47150000.0,14,-137850000.0,2016,49063524.33,192507995.8,-143444471.46
43,3,JuventusFC,Italy,SerieA,150700000.0,136,79530000.0,85,-71170000.0,2015,82964976.75,157208877.11,-74243900.36
44,3,LiverpoolFC,England,PremierLeague,151430000.0,32,99270000.0,25,-52160000.0,2014,103381430.3,157701722.48,-54320292.18
45,3,ParisSaintGermain,France,Ligue1,135900000.0,22,26500000.0,17,-109400000.0,2013,27831442.14,142728037.26,-114896595.12
46,3,ZenitSt.Petersburg,Russia,PremierLiga,88760000.0,10,1750000.0,8,-87010000.0,2012,1878679.75,95286637.06,-93407957.31
47,3,ChelseaFC,England,PremierLeague,96450000.0,29,32400000.0,29,-64050000.0,2011,35740810.02,106395096.49,-70654286.47
48,3,LiverpoolFC,England,PremierLeague,97530000.0,29,101500000.0,26,3980000.0,2010,114452321.01,109975712.99,4487884.11
49,3,FCBarcelona,Spain,LaLiga,113500000.0,12,24500000.0,10,-89000000.0,2009,27880125.11,129158946.93,-101278821.82
50,3,FCBarcelona,Spain,LaLiga,96000000.0,10,54590000.0,13,-41410000.0,2008,63150154.65,111053578.43,-47903423.78
51,3,TottenhamHotspur,England,PremierLeague,94150000.0,30,22550000.0,23,-71600000.0,2007,26896073.52,112295579.69,-85399506.17
52,3,WestHamUnited,England,PremierLeague,69850000.0,22,6750000.0,23,-63100000.0,2006,8206082.19,84917754.2,-76711672.01
53,3,NewcastleUnited,England,PremierLeague,61250000.0,18,30900000.0,16,-30350000.0,2005,38418161.05,76152503.69,-37734342.65
54,3,JuventusFC,Italy,SerieA,65920000.0,40,34450000.0,26,-31470000.0,2004,43842603.01,83892725.41,-40050122.4
55,3,ManchesterUnited,England,PremierLeague,56530000.0,28,59000000.0,25,2480000.0,2003,76603293.3,73396341.86,3219935.04
56,3,JuventusFC,Italy,SerieA,60940000.0,39,6310000.0,25,-54630000.0,2002,8381895.56,80949717.14,-72567821.58
57,3,SSLazio,Italy,SerieA,139250000.0,16,114300000.0,14,-24950000.0,2001,155015512.06,188853106.34,-33837594.28
58,3,ASRoma,Italy,SerieA,103400000.0,21,3360000.0,17,-100040000.0,2000,4673807.76,143830869.71,-139157061.95
59,4,ACMilan,Italy,SerieA,185500000.0,35,87300000.0,29,-98200000.0,2018,88662518.52,188395156.76,-99732638.24
60,4,ChelseaFC,England,PremierLeague,260600000.0,45,200600000.0,30,-60000000.0,2017,206470606.94,268226521.28,-61755914.34
61,4,InterMilan,Italy,SerieA,157930000.0,99,18500000.0,63,-139430000.0,2016,19250799.58,164339393.38,-145088593.8
62,4,ValenciaCF,Spain,LaLiga,143900000.0,25,50100000.0,18,-93800000.0,2015,52263866.91,150115178.61,-97851311.7
63,4,ChelseaFC,England,PremierLeague,137700000.0,57,144850000.0,49,7150000.0,2014,150849200.96,143403071.95,7446129.01
64,4,ChelseaFC,England,PremierLeague,130350000.0,53,77430000.0,37,-52920000.0,2013,81320323.22,136899188.06,-55578864.84
65,4,ManchesterUnited,England,PremierLeague,76450000.0,26,10880000.0,22,-65570000.0,2012,11680020.41,82071466.92,-70391446.51
66,4,ASRoma,Italy,SerieA,91600000.0,58,26200000.0,36,-65400000.0,2011,28901519.21,101045006.1,-72143486.89
67,4,RealMadrid,Spain,LaLiga,93000000.0,8,10500000.0,7,-82500000.0,2010,11839895.28,104867643.88,-93027748.6
68,4,InterMilan,Italy,SerieA,94200000.0,62,109100000.0,43,14900000.0,2009,124151904.05,107196236.13,16955667.92
69,4,RealMadrid,Spain,LaLiga,82200000.0,13,69300000.0,11,-12900000.0,2008,80166801.93,95089626.53,-14922824.6
70,4,BayernMunich,Germany,Bundesliga,93200000.0,14,36150000.0,12,-57050000.0,2007,43117208.77,111162485.68,-68045276.91
71,4,TottenhamHotspur,England,PremierLeague,61000000.0,23,38650000.0,23,-22350000.0,2006,46987418.75,74158668.66,-27171249.91
72,4,DinamoMoscow,Russia,PremierLiga,58500000.0,21,1650000.0,21,-56850000.0,2005,2051455.2,72733411.69,-70681956.49
73,4,ManchesterUnited,England,PremierLeague,61250000.0,20,9570000.0,21,-51690000.0,2004,12179207.86,77949475.6,-65782994.18
74,4,FCBarcelona,Spain,LaLiga,45850000.0,19,27900000.0,19,-17950000.0,2003,36224269.2,59529847.42,-23305578.21
75,4,ManchesterUnited,England,PremierLeague,48530000.0,16,3500000.0,16,-45030000.0,2002,4649228.91,64464879.76,-59815650.85
76,4,InterMilan,Italy,SerieA,108690000.0,34,46350000.0,29,-62340000.0,2001,62860621.03,147407139.16,-84546518.13
77,4,FCBarcelona,Spain,LaLiga,97100000.0,13,74800000.0,12,-22300000.0,2000,104047863.19,135067480.16,-31019616.97
78,5,LiverpoolFC,England,PremierLeague,182200000.0,13,38500000.0,15,-143700000.0,2018,39100881.59,185043652.62,-145942771.03
79,5,EvertonFC,England,PremierLeague,203200000.0,28,126480000.0,21,-76720000.0,2017,130181467.43,209146696.56,-78965229.14
80,5,ParisSaintGermain,France,Ligue1,134500000.0,21,59800000.0,15,-74700000.0,2016,62226908.91,139958515.86,-77731606.95
81,5,AtléticoMadrid,Spain,LaLiga,143610000.0,33,162000000.0,23,18390000.0,2015,168996934.92,149812653.23,19184281.69
82,5,RealMadrid,Spain,LaLiga,133500000.0,10,112700000.0,9,-20800000.0,2014,117367655.84,139029122.04,-21661466.21
83,5,TottenhamHotspur,England,PremierLeague,121880000.0,32,135430000.0,30,13550000.0,2013,142234423.0,128003629.0,14230794.0
84,5,InterMilan,Italy,SerieA,76050000.0,62,63300000.0,49,-12750000.0,2012,67954530.49,81642054.4,-13687523.91
85,5,ManchesterCity,England,PremierLeague,91050000.0,37,31200000.0,40,-59850000.0,2011,34417076.31,100438294.82,-66021218.5
86,5,GenoaCFC,Italy,SerieA,72820000.0,100,65250000.0,67,-7570000.0,2010,73576492.08,82112492.77,-8536000.69
87,5,OlympiqueLyon,France,Ligue1,81700000.0,17,53000000.0,12,-28700000.0,2009,60312107.38,92971682.5,-32659575.13
88,5,LiverpoolFC,England,PremierLeague,71450000.0,34,45950000.0,27,-25500000.0,2008,53155332.59,82653939.37,-29498606.77
89,5,LiverpoolFC,England,PremierLeague,90700000.0,32,45250000.0,27,-45450000.0,2007,53971056.62,108180659.35,-54209602.73
90,5,AtléticoMadrid,Spain,LaLiga,57130000.0,26,7000000.0,21,-50130000.0,2006,8510011.16,69453848.21,-60943837.05
91,5,OlympiqueLyon,France,Ligue1,49600000.0,21,43400000.0,15,-6200000.0,2005,53959488.33,61667986.66,-7708498.33
92,5,RealMadrid,Spain,LaLiga,58700000.0,12,9250000.0,11,-49450000.0,2004,11771961.62,74704232.12,-62932270.5
93,5,RealMadrid,Spain,LaLiga,37500000.0,15,31800000.0,15,-5700000.0,2003,41287876.73,48688533.87,-7400657.15
