,    Name of leauge |  ,    Expend |  ,    Income |  ,    Balance |  ,    number of Season |  ,    sum of Arrivlas |  ,    sum of Depatrues |  ,    avg Expend of Arrivlas |  ,    avg Income of Depatrues |  ,    avg Balance of Depatrues |  ,    avg Expend/Season |  ,    avg Income/Season |  ,    avg Balance/Season |  
0,Virsliga,406864.86,0.0,-406864.86,1,20,45,20343.24,0.0,-9041.44,406864.86,0.0,-406864.86
1,UAEArabianGulfLeague,241189313.64,93265393.41,-147913514.38,5,827,867,291643.67,107572.54,-170603.82,48237862.73,18653078.68,-29582702.88
2,Tunisia Ligue Profess,11583402.59,13021934.52,1438531.93,1,265,325,43710.95,40067.49,4426.25,11583402.59,13021934.52,1438531.93
3,TorneoInicial,47679145.63,115493998.69,67827010.21,3,518,656,92044.68,176057.92,103394.83,15893048.54,38497999.56,22609003.4
4,TorneoFinal,263629357.95,942134009.07,678527690.16,9,3182,3647,82850.21,258331.23,186050.92,29292150.88,104681556.56,75391965.57
5,SüperLig,1710965814.36,1152353924.64,-558643244.46,19,8590,8032,199181.12,143470.36,-69552.2,90050832.33,60650206.56,-29402276.02
6,SuperLeague,721710715.92,1085714738.44,364003649.14,34,8731,8794,82660.72,123460.85,41392.27,21226785.76,31932786.42,10705989.68
7,SerieC-GironeB,10357999.8,3948113.19,-6409886.61,3,987,1032,10494.43,3825.69,-6211.13,3452666.6,1316037.73,-2136628.87
8,SerieC-GironeA,6000728.6,2034324.31,-3966404.29,3,952,989,6303.29,2056.95,-4010.52,2000242.87,678108.1,-1322134.76
9,SerieB,566864993.44,1466548228.78,899723539.3,19,12875,13026,44028.35,112586.23,69071.36,29834999.65,77186748.88,47353870.49
10,SerieA,11935376850.2,10346351951.2,-1595802276.17,19,17845,14350,668835.91,721000.14,-111205.73,628177728.96,544544839.54,-83989593.48
11,ScottishPremiership,274050991.87,367223118.29,93185189.9,12,2401,2835,114140.35,129531.96,32869.56,22837582.66,30601926.52,7765432.49
12,SaudiProfessionalLeag,387283258.82,69435757.06,-317837069.85,8,1613,1822,240101.21,38109.64,-174444.06,48410407.35,8679469.63,-39729633.73
13,QatarStarsLeague,245611448.81,35930715.34,-209685940.57,6,877,1016,280058.66,35364.88,-206383.8,40935241.47,5988452.56,-34947656.76
14,PrimeraDivisión,356122240.4,792903209.93,436760381.55,5,2589,2892,137552.04,274171.23,151023.65,71224448.08,158580641.99,87352076.31
15,PremierLiga,3542121451.15,2402472875.38,-1139692064.97,35,8674,8475,408360.79,283477.63,-134476.94,101203470.03,68642082.15,-32562630.43
16,PremierLeague,18883465471.6,9748072586.15,-9146865774.73,19,8290,8678,2277860.73,1123308.66,-1054029.24,993866603.77,513056451.9,-481413988.14
17,OBOS-ligaen,949351.34,101716.22,-847635.13,1,39,32,24342.34,3178.63,-26488.6,949351.34,101716.22,-847635.13
18,MajorLeagueSoccer,216557972.57,97192534.8,-119375940.18,6,1853,1893,116868.85,51343.12,-63061.78,36092995.43,16198755.8,-19895990.03
19,Ligue2,79372077.4,296842357.83,217481848.51,6,1578,1842,50299.16,161152.2,118068.32,13228679.57,49473726.3,36246974.75
20,Ligue1,5868774920.94,6196901306.77,328148082.37,19,5985,6253,980580.61,991028.52,52478.5,308882890.58,326152700.36,17270951.7
21,Ligatha'Al,26154363.22,31514098.93,5359735.71,2,607,664,43087.91,47460.99,8071.89,13077181.61,15757049.46,2679867.86
22,LigaNOS,1504857585.52,3283315881.44,1778473813.08,18,8292,7810,181483.07,420398.96,227717.52,83603199.2,182406437.86,98804100.73
23,LigaMXApertura,78719722.91,63973104.71,-14746618.2,1,158,192,498226.09,333193.25,-76805.3,78719722.91,63973104.71,-14746618.2
24,Liga1Betano,259588161.37,267432106.66,7844744.42,10,4034,3782,64350.06,70711.82,2074.23,25958816.14,26743210.67,784474.44
25,LeagueOne,46738659.36,89979131.91,43249638.23,6,2683,3044,17420.3,29559.5,14208.16,7789776.56,14996521.99,7208273.04
26,LaLiga2,105420198.59,496214138.38,390805507.88,9,2977,3325,35411.55,149237.33,117535.49,11713355.4,55134904.26,43422834.21
27,LaLiga,9183343999.64,7350709479.62,-1832675146.25,19,6311,6397,1455132.94,1149086.99,-286489.78,483333894.72,386879446.3,-96456586.64
28,KLeague1,18923914.24,28818987.51,9895073.27,3,545,506,34722.78,56954.52,19555.48,6307971.41,9606329.17,3298357.76
29,JupilerProLeague,816672421.87,1367072427.09,550435100.89,19,5885,6100,138771.86,224110.23,90235.26,42982759.05,71951180.37,28970268.47
30,Japan J2 League,3390540.51,0.0,-3390540.51,1,95,105,35689.9,0.0,-32290.86,3390540.51,0.0,-3390540.51
31,J1League,106681146.1,83637530.27,-23048778.92,9,1728,1880,61736.77,44488.05,-12259.99,11853460.68,9293058.92,-2560975.44
32,FortunaLiga,34875690.29,77854466.3,42978776.01,3,757,773,46070.93,100717.29,55599.97,11625230.1,25951488.77,14326258.67
33,Eredivisie,1275031939.45,2405936232.01,1130950951.37,19,4907,5534,259839.4,434755.37,204364.1,67106944.18,126628222.74,59523734.28
34,Eliteserien,60220500.8,144734361.2,84507775.74,8,922,985,65315.08,146938.44,85794.7,7527562.6,18091795.15,10563471.97
35,Ekstraklasa,47179039.08,61960108.77,14794053.31,6,1663,1574,28369.84,39364.75,9399.02,7863173.18,10326684.79,2465675.55
36,EgyptianPremierLeague,69883939.28,38349332.18,-31534607.1,1,492,498,142040.53,77006.69,-63322.5,69883939.28,38349332.18,-31534607.1
37,ChineseSuperLeague,1874230466.24,537546973.19,-1336683632.3,9,1826,1820,1026413.18,295355.48,-734441.56,208247829.58,59727441.47,-148520403.59
38,ChinaLeagueOne,133482789.58,116829089.14,-16643268.54,3,480,481,278089.14,242887.92,-34601.39,44494263.19,38943029.71,-5547756.18
39,Championship,2282376925.77,3207332057.33,925002262.46,19,10704,11906,213226.54,269387.88,77692.11,120125101.36,168806950.39,48684329.6
40,CampeonatoBrasileiroS,1088334433.87,2806272827.27,1717939906.56,15,11023,11937,98733.05,235090.29,143917.22,72555628.92,187084855.15,114529327.1
41,Bundesliga,6084338583.78,4814213706.24,-1270168584.58,31,6241,6423,974898.03,749527.28,-197753.17,196268986.57,155297216.33,-40973180.15
42,Allsvenskan,11376251.57,16349476.3,4985657.79,1,133,142,85535.73,115137.16,35110.27,11376251.57,16349476.3,4985657.79
43,AlkaSuperligaen,139769967.69,259373467.11,119615656.56,9,1335,1497,104696.61,173262.17,79903.58,15529996.41,28819274.12,13290628.51
44,3.Liga,3277722.71,8094382.25,4791969.27,3,622,728,5269.65,11118.66,6582.38,1092574.24,2698127.42,1597323.09
45,2.Bundesliga,364238569.86,664426473.32,300221344.31,17,4139,4581,88001.59,145039.61,65536.2,21425798.23,39083910.2,17660079.08
46,1.Lig,4841626.11,10617224.43,5775598.33,1,471,513,10279.46,20696.34,11258.48,4841626.11,10617224.43,5775598.33
47,1.HNL,99672488.02,498887654.87,399226442.94,13,3859,3866,25828.58,129044.92,103266.02,7667114.46,38375973.45,30709726.38
