# Name_of_leauge Season Nationality AvgExpend +INFLACION
PremierLeague 2011 England -383502.72 -423153.51
SerieA 2011 Italy -80229.01 -88523.98
LaLiga 2011 Spain -233027.78 -257120.79
Ligue1 2011 France -203192.18 -224200.46
Bundesliga 2011 Germany -115090.91 -126990.29
PremierLiga 2011 Russia -1303061.22 -1437786.23
S�perLig 2011 Turkey -83389.83 -92011.6
LigaNOS 2011 Portugal 34847.33 38450.23
BrasileiroS�rieA 2011 Brazil 13764.71 15187.85
Championship 2011 England 84909.33 93688.2
Eredivisie 2011 Netherlands 181933.33 200743.63
PremierLiga 2011 Ukraine -83069.31 -91657.94
ChineseSuperLeague 2011 China -196363.64 -216665.9
SerieB 2011 Italy 35661.38 39348.45
JupilerProLeague 2011 Belgium 195352.56 215550.29
SaudiProfessionalLeague 2011 SaudiArabia -73687.15 -81305.75
QatarStarsLeague 2011 Qatar -233020.83 -257113.13
Ligue2 2011 France 144219.65 159130.69
SuperLeague 2011 Greece 15605.26 17218.71
Liga1Betano 2011 Romania 6625.0 7309.97
ArgentinaTorneoFinal 2011 Argentina 81072.32 89454.48
2.Bundesliga 2011 Germany 50073.8 55250.99
SuperLeague 2011 Switzerland 149361.7 164804.38
ScottishPremiership 2011 Scotland 34154.93 37686.25
KLeague1 2011 SouthKorea 4876.03 5380.17
1.HNL 2011 Croatia 8983.45 9912.26
KLeague1 2011 SouthKorea 4876.03 5380.17
1.HNL 2011 Croatia 8983.45 9912.26
KLeague1 2011 SouthKorea 4876.03 5380.17
1.HNL 2011 Croatia 8983.45 9912.26
KLeague1 2011 SouthKorea 4876.03 5380.17
1.HNL 2011 Croatia 8983.45 9912.26
PremierLeague 2011 England -383502.72 -423153.51
SerieA 2011 Italy -80229.01 -88523.98
LaLiga 2011 Spain -233027.78 -257120.79
Ligue1 2011 France -203192.18 -224200.46
Bundesliga 2011 Germany -115090.91 -126990.29
PremierLiga 2011 Russia -1303061.22 -1437786.23
S�perLig 2011 Turkey -83389.83 -92011.6
LigaNOS 2011 Portugal 34847.33 38450.23
BrasileiroS�rieA 2011 Brazil 13764.71 15187.85
Championship 2011 England 84909.33 93688.2
Eredivisie 2011 Netherlands 181933.33 200743.63
PremierLiga 2011 Ukraine -83069.31 -91657.94
ChineseSuperLeague 2011 China -196363.64 -216665.9
SerieB 2011 Italy 35661.38 39348.45
JupilerProLeague 2011 Belgium 195352.56 215550.29
SaudiProfessionalLeague 2011 SaudiArabia -73687.15 -81305.75
QatarStarsLeague 2011 Qatar -233020.83 -257113.13
Ligue2 2011 France 144219.65 159130.69
SuperLeague 2011 Greece 15605.26 17218.71
Liga1Betano 2011 Romania 6625.0 7309.97
ArgentinaTorneoFinal 2011 Argentina 81072.32 89454.48
2.Bundesliga 2011 Germany 50073.8 55250.99
SuperLeague 2011 Switzerland 149361.7 164804.38
ScottishPremiership 2011 Scotland 34154.93 37686.25
KLeague1 2011 SouthKorea 4876.03 5380.17
1.HNL 2011 Croatia 8983.45 9912.26
KLeague1 2011 SouthKorea 4876.03 5380.17
1.HNL 2011 Croatia 8983.45 9912.26
KLeague1 2011 SouthKorea 4876.03 5380.17
1.HNL 2011 Croatia 8983.45 9912.26
KLeague1 2011 SouthKorea 4876.03 5380.17
1.HNL 2011 Croatia 8983.45 9912.26
#      => End of file <=
